                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0537,                 4.2568,                 1.4829,                0.02321,                0.88091,                0.13258,                0.10122,                0.80179,                 3.3727,                 1.2636,             0.00010983,             0.00010983,             0.00010983
                      2,                 0.8871,                 3.5153,                 1.3338,                  0.303,                0.49944,                0.37348,                0.29351,                0.81959,                 2.7485,                 1.3164,             0.00021865,             0.00021865,             0.00021865
                      3,                0.90971,                 3.0533,                 1.3537,                0.31328,                0.66596,                0.52731,                0.41789,                0.80172,                 2.6536,                 1.2811,             0.00032526,             0.00032526,             0.00032526
                      4,                0.89092,                 2.7127,                 1.3213,                0.46407,                0.73722,                0.63571,                0.51639,                0.79639,                 1.8724,                 1.2748,             0.00032311,             0.00032311,             0.00032311
                      5,                0.86905,                  2.466,                 1.3081,                0.58734,                0.70426,                0.70666,                0.56915,                0.83629,                 1.7084,                 1.2745,             0.00031981,             0.00031981,             0.00031981
                      6,                0.84282,                 2.2317,                 1.2736,                0.63925,                0.74192,                0.80564,                0.64964,                0.87076,                 1.4439,                 1.3377,             0.00031652,             0.00031652,             0.00031652
                      7,                0.82435,                 2.0589,                 1.2591,                0.63579,                 0.7662,                0.85668,                0.67477,                0.90896,                 1.3448,                  1.343,             0.00031322,             0.00031322,             0.00031322
                      8,                0.79166,                 1.8973,                 1.2371,                0.74629,                0.76704,                0.87061,                0.68274,                0.93718,                 1.1548,                 1.3516,             0.00030992,             0.00030992,             0.00030992
                      9,                0.78808,                 1.8058,                 1.2284,                0.71027,                0.78363,                0.84148,                0.66856,                0.91178,                 1.1669,                 1.3574,             0.00030663,             0.00030663,             0.00030663
                     10,                0.77181,                 1.6414,                 1.2208,                0.76982,                0.76721,                0.86721,                0.64314,                 1.0617,                 1.0936,                 1.4837,             0.00030333,             0.00030333,             0.00030333
                     11,                0.74787,                 1.5246,                 1.1981,                0.81197,                0.80845,                0.89244,                0.71446,                0.86863,                0.96805,                 1.3103,             0.00030003,             0.00030003,             0.00030003
                     12,                0.75077,                 1.4777,                 1.1862,                0.83781,                0.81349,                0.89493,                0.70245,                 0.8875,                0.98078,                 1.3584,             0.00029674,             0.00029674,             0.00029674
                     13,                0.73484,                  1.431,                  1.189,                0.87793,                0.79259,                0.91489,                0.71897,                0.91735,                0.94952,                 1.3394,             0.00029344,             0.00029344,             0.00029344
                     14,                0.72273,                  1.363,                 1.1731,                0.85267,                0.84344,                0.91552,                0.71619,                0.93865,                 0.8911,                 1.3425,             0.00029014,             0.00029014,             0.00029014
                     15,                0.72844,                 1.3031,                 1.1732,                 0.8401,                 0.8276,                0.89522,                 0.7316,                0.77118,                0.92743,                 1.2255,             0.00028685,             0.00028685,             0.00028685
                     16,                 0.7191,                  1.274,                 1.1676,                0.81801,                0.83004,                0.91846,                0.74351,                0.82176,                0.84885,                 1.2692,             0.00028355,             0.00028355,             0.00028355
                     17,                0.69315,                 1.2128,                  1.155,                0.87033,                 0.8494,                 0.9311,                0.72797,                0.90811,                0.79036,                 1.3627,             0.00028025,             0.00028025,             0.00028025
                     18,                0.71393,                 1.1786,                  1.153,                0.86353,                0.87616,                0.93454,                0.73459,                0.95103,                0.77415,                 1.3796,             0.00027696,             0.00027696,             0.00027696
                     19,                0.69329,                  1.135,                 1.1455,                0.88256,                0.89531,                0.94973,                0.78117,                0.81008,                0.70505,                 1.2701,             0.00027366,             0.00027366,             0.00027366
                     20,                0.68853,                 1.1294,                 1.1442,                 0.8573,                0.87512,                0.93931,                0.71808,                0.99715,                0.78384,                 1.4276,             0.00027036,             0.00027036,             0.00027036
                     21,                0.69015,                  1.116,                 1.1494,                0.90656,                0.85358,                0.95282,                0.77805,                0.81602,                0.70745,                  1.286,             0.00026707,             0.00026707,             0.00026707
                     22,                0.69565,                 1.0882,                 1.1443,                0.86004,                0.89966,                0.95348,                0.78905,                0.79012,                0.64741,                 1.2719,             0.00026377,             0.00026377,             0.00026377
                     23,                0.67934,                 1.0233,                 1.1424,                0.89389,                0.85638,                0.94589,                0.76084,                0.85234,                0.73841,                 1.2907,             0.00026047,             0.00026047,             0.00026047
                     24,                0.67793,                 1.0485,                 1.1355,                0.94548,                0.84795,                0.94632,                0.73792,                0.96648,                0.69877,                 1.3862,             0.00025718,             0.00025718,             0.00025718
                     25,                0.67448,                0.98659,                 1.1319,                0.90316,                0.84543,                0.94111,                0.71689,                0.99139,                0.70372,                 1.4317,             0.00025388,             0.00025388,             0.00025388
                     26,                0.66372,                0.96714,                 1.1237,                0.89183,                0.87928,                0.93566,                0.73505,                0.92672,                 0.7097,                 1.3797,             0.00025058,             0.00025058,             0.00025058
                     27,                0.67383,                0.96789,                 1.1271,                0.86866,                0.91181,                0.94578,                0.75702,                0.87301,                0.64229,                 1.3108,             0.00024729,             0.00024729,             0.00024729
                     28,                0.64458,                0.92693,                 1.1091,                0.88487,                0.84248,                0.92975,                 0.7322,                0.92707,                0.72203,                 1.4081,             0.00024399,             0.00024399,             0.00024399
                     29,                0.65308,                0.92005,                 1.1148,                0.90431,                 0.8422,                0.92519,                0.74165,                0.88014,                0.75241,                 1.3406,             0.00024069,             0.00024069,             0.00024069
                     30,                0.66263,                0.91689,                 1.1286,                0.92763,                0.87637,                0.94863,                0.73051,                0.97174,                0.63096,                  1.418,              0.0002374,              0.0002374,              0.0002374
                     31,                0.65065,                0.87879,                 1.1151,                 0.8948,                0.86844,                0.93407,                  0.724,                0.96083,                0.69357,                 1.4219,              0.0002341,              0.0002341,              0.0002341
                     32,                 0.6466,                0.88696,                 1.1217,                0.89587,                0.86644,                0.93852,                0.75002,                0.88217,                0.65449,                 1.3476,              0.0002308,              0.0002308,              0.0002308
                     33,                0.64545,                0.86785,                 1.1085,                   0.92,                0.85501,                0.94427,                0.74174,                0.93246,                0.65195,                 1.3737,             0.00022751,             0.00022751,             0.00022751
                     34,                0.64643,                0.87784,                 1.1142,                0.91812,                0.83585,                0.93399,                0.77467,                0.75998,                0.69629,                 1.2302,             0.00022421,             0.00022421,             0.00022421
                     35,                0.62862,                0.84796,                 1.1042,                0.88924,                 0.8588,                0.92645,                0.77537,                0.75587,                0.67622,                 1.2116,             0.00022091,             0.00022091,             0.00022091
                     36,                0.64878,                0.84557,                 1.1179,                 0.9208,                0.81748,                0.94176,                0.76071,                0.86677,                 0.6606,                 1.3136,             0.00021762,             0.00021762,             0.00021762
                     37,                0.63151,                0.81697,                 1.1038,                0.89757,                 0.8813,                0.93955,                0.76151,                0.85901,                0.62639,                 1.3068,             0.00021432,             0.00021432,             0.00021432
                     38,                0.62173,                0.81205,                 1.0982,                0.88692,                 0.8829,                0.95238,                  0.768,                0.84601,                0.59592,                 1.2971,             0.00021102,             0.00021102,             0.00021102
                     39,                0.61491,                0.78834,                 1.0929,                0.90675,                0.87341,                0.94553,                0.75241,                0.90092,                0.62646,                  1.347,             0.00020773,             0.00020773,             0.00020773
                     40,                0.62893,                0.79063,                 1.0993,                0.89905,                0.88415,                0.94386,                0.76677,                0.82824,                0.60867,                 1.2984,             0.00020443,             0.00020443,             0.00020443
                     41,                0.62594,                0.78021,                 1.1007,                0.90043,                 0.8588,                0.93583,                0.75399,                0.87733,                 0.6925,                 1.3289,             0.00020113,             0.00020113,             0.00020113
                     42,                0.60989,                0.76295,                 1.0972,                0.92714,                0.86676,                0.93912,                0.74882,                 0.9053,                0.62806,                 1.3853,             0.00019784,             0.00019784,             0.00019784
                     43,                0.62206,                0.75506,                 1.0986,                0.90532,                0.87323,                0.95045,                0.77209,                0.83498,                0.59432,                 1.2775,             0.00019454,             0.00019454,             0.00019454
                     44,                0.60444,                 0.7178,                 1.0893,                0.91609,                0.87294,                0.95298,                0.76017,                0.87621,                0.57865,                   1.33,             0.00019124,             0.00019124,             0.00019124
                     45,                0.60992,                0.74254,                 1.0887,                0.89282,                0.86635,                0.94199,                 0.7418,                0.91588,                0.60645,                 1.3743,             0.00018795,             0.00018795,             0.00018795
                     46,                0.60977,                0.72115,                 1.0903,                 0.8893,                0.89045,                0.94735,                0.76852,                0.84487,                0.60114,                 1.2804,             0.00018465,             0.00018465,             0.00018465
                     47,                0.59671,                0.70665,                 1.0835,                0.89373,                0.89039,                0.94604,                0.77462,                0.83131,                0.60336,                 1.2721,             0.00018135,             0.00018135,             0.00018135
                     48,                0.60113,                0.71338,                 1.0862,                0.91088,                0.89503,                0.93907,                0.77714,                0.81427,                0.56409,                 1.2874,             0.00017806,             0.00017806,             0.00017806
                     49,                0.59982,                0.69564,                 1.0811,                0.90122,                 0.8676,                0.95311,                0.77094,                0.82714,                0.59477,                 1.2785,             0.00017476,             0.00017476,             0.00017476
                     50,                0.57093,                0.65985,                 1.0708,                 0.8975,                 0.9053,                0.94494,                0.76717,                0.82777,                 0.5835,                 1.2893,             0.00017146,             0.00017146,             0.00017146
                     51,                0.59441,                0.69168,                 1.0751,                0.87878,                0.88295,                0.92875,                0.75885,                0.82405,                0.61317,                 1.2689,             0.00016817,             0.00016817,             0.00016817
                     52,                0.59199,                0.69145,                  1.086,                0.88471,                0.89146,                0.92731,                0.77538,                  0.765,                0.59136,                  1.221,             0.00016487,             0.00016487,             0.00016487
                     53,                0.57729,                0.66542,                 1.0694,                0.90144,                0.87415,                0.94725,                0.75722,                0.88529,                0.58499,                 1.3311,             0.00016157,             0.00016157,             0.00016157
                     54,                0.58858,                0.66193,                 1.0818,                0.92727,                0.86494,                  0.938,                0.74443,                0.90669,                0.56999,                 1.3746,             0.00015827,             0.00015827,             0.00015827
                     55,                0.57409,                0.63701,                 1.0708,                0.91558,                0.85185,                0.94514,                0.76219,                0.87004,                0.56111,                 1.3373,             0.00015498,             0.00015498,             0.00015498
                     56,                0.56129,                0.63124,                 1.0599,                0.87097,                0.89292,                 0.9351,                0.75148,                 0.8738,                0.59815,                   1.34,             0.00015168,             0.00015168,             0.00015168
                     57,                0.57652,                0.64473,                 1.0649,                0.91695,                  0.895,                0.94013,                0.76695,                0.83117,                0.58316,                 1.2758,             0.00014838,             0.00014838,             0.00014838
                     58,                0.56678,                0.63376,                 1.0633,                0.93925,                0.88163,                0.93843,                0.75212,                0.86515,                0.60637,                 1.3063,             0.00014509,             0.00014509,             0.00014509
                     59,                 0.5672,                0.62654,                  1.063,                0.92666,                0.85505,                0.93592,                0.75466,                0.88568,                0.62472,                 1.3314,             0.00014179,             0.00014179,             0.00014179
                     60,                0.56955,                0.62034,                 1.0673,                 0.9211,                 0.8679,                0.94301,                0.77245,                0.86618,                0.57637,                 1.3385,             0.00013849,             0.00013849,             0.00013849
                     61,                0.55725,                0.61798,                 1.0567,                0.93231,                0.85777,                0.94759,                0.77837,                0.80456,                0.54269,                 1.2737,              0.0001352,              0.0001352,              0.0001352
                     62,                0.55726,                0.59953,                 1.0634,                0.91375,                0.88692,                0.93236,                0.74408,                 0.8759,                0.60784,                 1.3417,              0.0001319,              0.0001319,              0.0001319
                     63,                0.55394,                0.59306,                 1.0579,                0.91909,                0.87826,                0.93594,                0.75433,                0.88535,                 0.5932,                  1.333,              0.0001286,              0.0001286,              0.0001286
                     64,                0.55396,                0.60627,                 1.0563,                0.91881,                0.87694,                0.93303,                0.74866,                0.86017,                0.56301,                 1.3262,             0.00012531,             0.00012531,             0.00012531
                     65,                0.55297,                0.57764,                 1.0568,                0.92608,                0.86868,                0.94003,                0.77327,                0.80785,                0.56004,                 1.2742,             0.00012201,             0.00012201,             0.00012201
                     66,                0.55065,                0.57227,                 1.0597,                0.92876,                0.87599,                0.94328,                0.75274,                0.90342,                0.55679,                 1.3553,             0.00011871,             0.00011871,             0.00011871
                     67,                0.55564,                 0.5772,                 1.0551,                0.91966,                0.86304,                0.93539,                0.79034,                0.72801,                 0.5414,                 1.1884,             0.00011542,             0.00011542,             0.00011542
                     68,                0.54306,                0.56072,                 1.0483,                0.90153,                0.87017,                0.93755,                 0.7806,                0.78192,                0.54451,                 1.2273,             0.00011212,             0.00011212,             0.00011212
                     69,                0.54643,                0.57696,                 1.0572,                0.90862,                0.85367,                0.93923,                0.76971,                  0.815,                 0.5557,                 1.2482,             0.00010882,             0.00010882,             0.00010882
                     70,                0.53812,                0.56076,                  1.056,                0.93338,                0.85444,                0.94708,                0.76795,                0.84834,                0.55831,                 1.3028,             0.00010553,             0.00010553,             0.00010553
                     71,                0.54698,                0.57567,                 1.0575,                0.91888,                0.84248,                0.94328,                 0.7795,                0.81239,                 0.5737,                 1.2735,             0.00010223,             0.00010223,             0.00010223
                     72,                0.52825,                0.55486,                 1.0424,                 0.9265,                0.86808,                 0.9445,                0.76765,                0.83254,                0.55004,                 1.2705,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     73,                 0.5285,                0.54431,                 1.0456,                0.92556,                0.86892,                0.95507,                0.77627,                0.82772,                0.53875,                   1.27,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     74,                0.53338,                0.53916,                 1.0439,                0.90703,                0.86843,                0.94098,                0.78015,                0.80216,                0.56441,                 1.2515,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     75,                0.52998,                0.54405,                  1.043,                 0.9209,                0.89328,                  0.942,                0.75681,                0.85197,                0.57424,                 1.3012,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     76,                0.52098,                0.52857,                 1.0353,                0.91343,                0.88505,                0.94777,                0.78037,                0.76744,                0.57107,                 1.2202,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     77,                 0.5438,                0.54194,                 1.0469,                0.94021,                0.89056,                0.95291,                0.76829,                0.85327,                0.54155,                 1.3182,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     78,                0.52456,                0.53566,                 1.0431,                0.90055,                 0.8727,                0.95123,                0.78866,                0.76275,                0.54825,                 1.2192,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     79,                0.52848,                0.52851,                 1.0415,                 0.9319,                0.87891,                0.95528,                0.77661,                0.83071,                0.53074,                 1.2831,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     80,                0.51785,                0.50552,                 1.0331,                0.92177,                0.87379,                0.95221,                0.76547,                0.85439,                0.54886,                 1.3213,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     81,                0.51998,                0.51412,                 1.0357,                0.93836,                 0.8803,                0.95361,                0.79804,                0.76793,                 0.5108,                 1.2331,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     82,                0.51174,                0.51924,                 1.0331,                0.90536,                0.86522,                0.95165,                0.77313,                0.84027,                0.55804,                 1.2872,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     83,                 0.5087,                0.49407,                 1.0298,                0.92707,                0.85482,                0.95401,                0.78599,                0.78729,                0.52482,                 1.2415,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     84,                0.51556,                 0.5028,                 1.0341,                0.94271,                0.87586,                0.95649,                0.78567,                0.79424,                 0.5006,                 1.2673,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     85,                0.49986,                0.49599,                 1.0263,                0.93235,                0.86965,                0.95022,                0.78916,                0.78255,                0.51705,                 1.2354,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     86,                0.49258,                0.48542,                  1.019,                0.91516,                0.89253,                0.95428,                0.78172,                0.79914,                0.52076,                   1.26,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     87,                0.49562,                0.48903,                 1.0218,                 0.8934,                0.90066,                0.95286,                0.78712,                0.77677,                0.53239,                 1.2423,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     88,                0.50338,                0.49031,                 1.0304,                0.92289,                0.87413,                0.94765,                0.76809,                0.84805,                0.54454,                 1.3132,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     89,                0.50179,                0.48807,                 1.0296,                0.94308,                0.87429,                0.95372,                0.78483,                0.80377,                0.50334,                 1.2669,              4.289e-05,              4.289e-05,              4.289e-05
                     90,                0.50068,                0.48575,                 1.0297,                0.89343,                0.89355,                0.95027,                0.78359,                0.79241,                0.53762,                   1.25,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     91,                 0.3667,                 0.3074,                0.95133,                0.91466,                 0.8901,                0.94579,                0.77656,                0.79528,                0.53292,                 1.2669,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     92,                0.35312,                0.29521,                0.94898,                0.90612,                0.88158,                0.94758,                0.77095,                0.80863,                0.54599,                 1.2716,                3.3e-05,                3.3e-05,                3.3e-05
